product_id,product_name,category,subcategory,total_sales,total_units_sold,average_sale_price,min_sale_price_per_unit,max_sale_price_per_unit,avg_sale_price_per_unit,total_profit,average_discount,average_processing_time,total_returns,total_loss,profit_margin,total_orders,average_profit_per_unit,sales_percentage_of_total,profit_rank,sales_rank,discount_impact_on_sales,discount_impact_on_profit,active_months,composite_score,extended_composite_score
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,825.174,9,825.174,91.68599999999999,91.68599999999999,91.68599999999999,-117.882,0.3,2.0,0,-117.882,-14.285714285714288,1,-13.098,0.036223433223885236,1740.0,570.0,35.84152319114128,-156.78266358497916,1,1.0726718104014292,0.2526190865683773
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,1064.624,10,354.87466666666666,102.833,120.98,108.882,24.196,0.09999999999999999,1.6666666666666667,0,-9.6784,2.272727272727273,3,2.4196,0.046734793355759634,1152.0,499.0,75.26018244133431,-88.3450117227214,3,1.2745342609495836,0.27593670474288157
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,2154.348,14,430.8696,119.68599999999999,170.98000000000002,148.75259999999997,311.1836,0.13,4.0,0,-35.9058,14.444444444444446,5,22.2274,0.09457142483768359,268.0,283.0,254.6523688383163,49.8942473996261,5,1.4809547056311745,0.3063982448668217
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,723.842,21,120.64033333333333,14.574,48.580000000000005,39.67366666666667,-133.1092,0.18333333333333335,3.6666666666666665,0,-195.2916,-18.389261744966444,6,-6.3385333333333325,0.03177516784537993,1751.0,602.0,19.16007997067538,-164.11746427500137,6,1.415096510756305,0.29063931161372736
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,Bookcases,851.76,12,425.88,70.98,70.98,70.98,229.9752,0.0,6.5,0,0.0,27.0,2,19.1646,0.037390503678953156,337.0,560.0,40.21815495069706,10.776916021854914,2,1.2817720602782794,0.28230936302162174
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,2946.3668,22,589.2733599999999,100.49000000000001,160.784,134.25464,-767.7436,0.332,4.4,0,-767.7436,-26.05729877216917,5,-34.897436363636366,0.12933941330297904,1838.0,206.0,385.0358275852229,-469.81495528003273,5,1.3375330246863717,0.2935245527499959
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,2970.059,28,297.0059,96.78399999999999,120.98,107.6722,-78.637,0.11000000000000001,4.3,0,-151.22500000000002,-2.6476578411405294,10,-2.808464285714286,0.1303794519186249,1723.0,203.0,388.936077151677,-137.87871190115544,10,1.787310495473552,0.34416780994264584
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,1119.195,22,223.839,29.069999999999997,58.14,48.2562,147.0942,0.16999999999999998,2.6,0,-45.3492,13.142857142857146,5,6.6861,0.0491303474746008,447.0,472.0,84.24375167892997,-29.146091227654413,5,1.4553300545888483,0.3034112341207033
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,90.882,3,90.882,30.294,30.294,30.294,-190.8522,0.7,2.0,0,-190.8522,-210.0,1,-63.6174,0.003989531975381118,1769.0,1417.0,-85.0388532471245,-191.93173060393582,1,0.45641218444750814,0.14729732089074954
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,935.1972,10,311.7324,89.0664,111.333,96.4886,-125.74080000000001,0.26333333333333336,3.0,0,-136.2192,-13.445378151260506,3,-12.57408,0.04105322432040327,1745.0,533.0,53.95372628329345,-160.56817449064445,3,1.2196701467256128,0.266478074804315
